Borderpoint,Exit,Entry,Month,Flow Volume
Adriatic LNG,Liquefied Natural Gas,Italy,,1.1
Almeria,Algeria,Spain,,1.3
Alveringem,Belgium,France,,1.1
Alveringem,France,Belgium,,1.1
Badajoz,Portugal,Spain,,0.3
Badajoz,Spain,Portugal,,0.5
Baltic Connector Inkoo/Paldiski,Finland,Estonia,,0.3
Baltic Connector Inkoo/Paldiski,Estonia,Finland,,0.3
Barcelona,Liquefied Natural Gas,Spain,,2.1
Basel,Germany,Switzerland,,
Baumgarten,Slovak Republic,Austria,,8.8
Baumgarten,Austria,Slovak Republic,,1.1
Bauska,Latvia,Lithuania,,
BBL,Netherlands,United Kingdom,,2.2
BBL,United Kingdom,Netherlands,,
Beregdaróc,Ukraine,Hungary,,2.0
Beregdaróc,Hungary,Ukraine,,0.7
Bilbao,Liquefied Natural Gas,Spain,,0.8
Biriatou,France,Spain,,
Biriatou,Spain,France,,
Bizzarone Como,Italy,Switzerland,,0.1
Blaregnies (H),Belgium,France,,1.0
Bocholtz,Germany,Netherlands,,
Bocholtz,Netherlands,Germany,,1.9
Bocholtz-Vetschau,Netherlands,Germany,,0.1
Brandov EUGAL,Germany,Czech Republic,,4.4
Brandov OPAL,Germany,Czech Republic,,3.8
Brandov OPAL,Czech Republic,Germany,,
Branice,Czech Republic,Poland,,0.0
Bras,Belgium,Luxembourg,,0.1
Bras - Petange,Belgium,Luxembourg,,0.2
Budince,Ukraine,Slovak Republic,,
Budince,Slovak Republic,Ukraine,,1.1
Bunde,Germany,Netherlands,,1.2
Bunde,Netherlands,Germany,,
Cartagena,Liquefied Natural Gas,Spain,,1.4
Csanadpalota,Romania,Hungary,,0.3
Csanadpalota,Hungary,Romania,,0.3
Dinxperlo (RWE),Netherlands,Germany,,
Dogubajazit,"Iran, Islamic Republic",Republic of Türkiye,,1.2
Dornum,Norway,Germany,,3.0
Dortyol FSRU,Liquefied Natural Gas,Republic of Türkiye,,1.2
Dragon LNG,Liquefied Natural Gas,United Kingdom,,1.2
Dragor,Denmark,Sweden,,0.4
Dravaszerdahely,Hungary,Croatia,,0.3
Dravaszerdahely,Croatia,Hungary,,0.2
Drozdowicze,Ukraine,Poland,,0.7
Dunkerque,Norway,France,,2.1
Dunkerque (LNG),Liquefied Natural Gas,France,,2.0
Easington,Norway,United Kingdom,,3.1
Edirne,Republic of Türkiye,Liquefied Natural Gas,,
Ellund,Germany,Denmark,,0.2
Ellund,Denmark,Germany,,0.4
Emden (EPT1),Norway,Netherlands,,
Emden (EPT1),Norway,Germany,,3.7
Emden (EPT1),Netherlands,Norway,,
Emden (NPT),Norway,Netherlands,,
Emden (NPT),Norway,Germany,,
Emden (NPT),Netherlands,Norway,,
Etki FSRU,Liquefied Natural Gas,Republic of Türkiye,,
Eynatten (EON/RWE),Germany,Belgium,,1.4
Eynatten (EON/RWE),Belgium,Germany,,1.2
Eynatten (Wingas),Germany,Belgium,,
Eynatten (Wingas),Belgium,Germany,,
Faxe,Denmark,Poland,,1.2
Fernana,Algeria,Tunisia,,
Finkenherd (EWE),Germany,Poland,,0.0
Fos sur Mer,Liquefied Natural Gas,France,,0.7
FSRU Alexandroupolis,Liquefied Natural Gas,Greece,,0.9
Gate,Liquefied Natural Gas,Netherlands,,
Gela,Libya,Italy,,1.5
Giurgiu,Romania,Bulgaria,,0.2
Giurgiu,Bulgaria,Romania,,0.1
Gorizia,Slovenia,Italy,,0.2
Gorizia,Italy,Slovenia,,0.2
Griespass,Switzerland,Italy,,2.7
Griespass,Italy,Switzerland,,2.4
Gubin,Germany,Poland,,0.0
Haanrade (RWE),Netherlands,Germany,,0.0
Hermanowice,Poland,Ukraine,,0.3
Hilvarenbeek,Netherlands,Belgium,,2.9
Hilvarenbeek,Belgium,Netherlands,,
"Hochst, Feldkirch/Bangs (Dist. networks)",Switzerland,Austria,,0.1
"Hochst, Feldkirch/Bangs (Dist. networks)",Austria,Switzerland,,0.1
Hora svate Kateriny,Germany,Czech Republic,,0.6
Hora svate Kateriny,Czech Republic,Germany,,0.8
Huelva,Liquefied Natural Gas,Spain,,1.4
Imatra,Russia,Finland,,0.8
Interconnector,United Kingdom,Belgium,,2.9
Interconnector,Belgium,United Kingdom,,3.4
Interfield transfer from Blane to Ula,United Kingdom,Norway,,
Isaccea,Romania,Ukraine,,0.5
Isaccea,Ukraine,Romania,,0.8
Isle of Grain,Liquefied Natural Gas,United Kingdom,,2.3
Isle of Grain,United Kingdom,Liquefied Natural Gas,,
Isle of Man,United Kingdom,Isle Of Man,,1.2
Izmir,Liquefied Natural Gas,Republic of Türkiye,,2.8
Jidilovo,Bulgaria,North Macedonia,,0.1
Jidilovo,North Macedonia,Bulgaria,,
Jura,France,Switzerland,,0.2
Kalotina (BG)/ Dimitrovgrad (RS),Serbia,Bulgaria,,0.0
Kalotina (BG)/ Dimitrovgrad (RS),Bulgaria,Serbia,,0.2
Kamminke,Poland,Germany,,0.0
Karksi,Latvia,Estonia,,0.4
Karksi,Estonia,Latvia,,0.4
Kastoria (TAP),Greece,Albania,,1.3
Kiefersfelden,Germany,Austria,,0.1
Kieménai,Lithuania,Latvia,,0.3
Kieménai,Latvia,Lithuania,,0.3
Kipi,Republic of Türkiye,Greece,,1.7
Kireevo(BG)/Zaychar(RS),Bulgaria,Serbia,,1.6
Kireevo(BG)/Zaychar(RS),Serbia,Bulgaria,,
Kiskundorozsma,Hungary,Serbia,,0.6
Kiskundorozsma,Serbia,Hungary,,1.0
Kiyikoy,Russia,Republic of Türkiye,,1.9
Klaipeda,Liquefied Natural Gas,Lithuania,,0.5
Kondratki,Belarus,Poland,,
Korneti,Estonia,Latvia,,0.4
Korneti,Latvia,Estonia,,0.4
Kotlovka,Belarus,Lithuania,,1.3
KrK - Omisalj,Liquefied Natural Gas,Croatia,,0.5
KrK - Omisalj,Croatia,Liquefied Natural Gas,,0.5
