Month,Price of Liquefied U.S. Natural Gas Exports  Dollars per Thousand Cubic Feet
Dec 2024,7.67
Nov 2024,6.7
Oct 2024,6.86
Sep 2024,6.09
Aug 2024,5.77
Jul 2024,6.72
Jun 2024,6.57
May 2024,5.63
Apr 2024,5.46
Mar 2024,5.69
Feb 2024,6.56
Jan 2024,6.89
Dec 2023,6.94
Nov 2023,7.51
Oct 2023,7.08
Sep 2023,6.57
Aug 2023,6.45
Jul 2023,6.62
Jun 2023,7.37
May 2023,7.33
Apr 2023,6.83
Mar 2023,7.97
Feb 2023,9.36
Jan 2023,11.24
Dec 2022,12.67
Nov 2022,11.68
Oct 2022,14.32
Sep 2022,16.72
Aug 2022,15.45
Jul 2022,12.76
Jun 2022,14.36
May 2022,12.33
Apr 2022,10.33
Mar 2022,9.15
Feb 2022,10.17
Jan 2022,8.56
Dec 2021,9.62
Nov 2021,10.24
Oct 2021,9.98
Sep 2021,8.34
Aug 2021,7.75
Jul 2021,7.23
Jun 2021,6.57
May 2021,6.46
Apr 2021,5.92
Mar 2021,6.25
Feb 2021,6.52
Jan 2021,6.08
Dec 2020,6.48
Nov 2020,6.58
Oct 2020,5.8
Sep 2020,5.53
Aug 2020,5.85
Jul 2020,5.73
Jun 2020,5.55
May 2020,5.53
Apr 2020,4.74
Mar 2020,4.91
Feb 2020,5.12
Jan 2020,5.42
Dec 2019,5.55
Nov 2019,5.84
Oct 2019,5.31
Sep 2019,5.28
Aug 2019,5.13
Jul 2019,5.29
Jun 2019,4.57
May 2019,4.39
Apr 2019,4.7
Mar 2019,4.84
Feb 2019,5.06
Jan 2019,5.89
Dec 2018,6.84
Nov 2018,5.62
Oct 2018,4.92
Sep 2018,4.78
Aug 2018,5.33
Jul 2018,5.28
Jun 2018,4.65
May 2018,5.03
Apr 2018,4.56
Mar 2018,4.45
Feb 2018,5.62
Jan 2018,4.34
Dec 2017,4.74
Nov 2017,4.47
Oct 2017,4.02
Sep 2017,3.88
Aug 2017,3.88
Jul 2017,4.26
Jun 2017,4.61
May 2017,4.8
Apr 2017,5.16
Mar 2017,4.47
Feb 2017,5.99
Jan 2017,6.44
Dec 2016,4.68
Nov 2016,4.58
Oct 2016,3.65
Sep 2016,5.11
Aug 2016,5.13
Jul 2016,5.63
Jun 2016,4.72
May 2016,4.21
Apr 2016,3.96
Mar 2016,4.01
Feb 2016,3.59
Jan 2016,10.74
Dec 2015,15.95
Nov 2015,16.67
Oct 2015,6.53
Sep 2015,7.17
Aug 2015,7.91
Jul 2015,8.1
Jun 2015,7.82
May 2015,7.53
Apr 2015,10.53
Mar 2015,11.1
Feb 2015,12.87
Jan 2015,17.39
Dec 2014,13.5
Nov 2014,12.17
Oct 2014,15.1
Sep 2014,15.74
Aug 2014,16.01
Jul 2014,16.01
Jun 2014,12.58
May 2014,15.78
Apr 2014,13.23
Mar 2014,14.31
Feb 2014,15.49
Jan 2014,13.7
Dec 2013,12.69
Nov 2013,13.45
Oct 2013,13.09
Sep 2013,13.53
Aug 2013,13.25
Jul 2013,12.89
Jun 2013,13.38
May 2013,12.84
Apr 2013,11.36
Mar 2013,10.02
Feb 2013,10.85
Jan 2013,10.11
Dec 2012,11.76
Nov 2012,8.86
Oct 2012,11.57
Sep 2012,8.4
Aug 2012,15.15
Jul 2012,8.49
Jun 2012,17.55
May 2012,16.1
Apr 2012,8.54
Mar 2012,10.67
Feb 2012,11.3
Jan 2012,11.83
Dec 2011,12.83
Nov 2011,15.29
Oct 2011,12.54
Sep 2011,12.76
Aug 2011,11.6
Jul 2011,12.72
Jun 2011,11.6
May 2011,8.62
Apr 2011,8.25
Mar 2011,10.28
Feb 2011,9.71
Jan 2011,8.2
Dec 2010,8.5
Nov 2010,8.18
Oct 2010,9.04
Sep 2010,9.85
Aug 2010,13.19
Jul 2010,12.83
Jun 2010,8.27
May 2010,11.94
Apr 2010,12.21
Mar 2010,12.36
Feb 2010,7.97
Jan 2010,11.68
Dec 2009,9.18
Nov 2009,10.69
Oct 2009,10.97
Sep 2009,10.2
Aug 2009,8.36
Jul 2009,8
Jun 2009,7.65
May 2009,7.2
Apr 2009,7.33
Mar 2009,6.42
Feb 2009,6
Jan 2009,7.54
Dec 2008,8.27
Nov 2008,8.87
Oct 2008,8.72
Sep 2008,8.56
Aug 2008,7.97
Jul 2008,7.49
Jun 2008,7.38
May 2008,7.21
Apr 2008,7.09
Mar 2008,7.09
Feb 2008,6.9
Jan 2008,6.6
Dec 2007,6.28
Nov 2007,6.33
Oct 2007,9.34
Sep 2007,6.14
Aug 2007,6.06
Jul 2007,5.87
Jun 2007,5.73
May 2007,5.65
Apr 2007,5.86
Mar 2007,5.85
Feb 2007,5.91
Jan 2007,6.08
Dec 2006,6.44
Nov 2006,6.45
Oct 2006,6.28
Sep 2006,6.22
Aug 2006,6.17
Jul 2006,5.95
Jun 2006,5.94
May 2006,5.95
Apr 2006,5.76
Mar 2006,5.69
Feb 2006,5.81
Jan 2006,5.9
Dec 2005,6.68
Nov 2005,6.4
Oct 2005,6.24
Sep 2005,5.97
Aug 2005,6.08
Jul 2005,5.89
Jun 2005,5.49
May 2005,5.38
Apr 2005,5.19
Mar 2005,5.26
Feb 2005,5.4
Jan 2005,5.27
Dec 2004,5.4
Nov 2004,5.32
Oct 2004,5.24
Sep 2004,5.24
Aug 2004,5.05
Jul 2004,4.98
Jun 2004,4.83
May 2004,4.89
Apr 2004,4.79
Mar 2004,4.6
Feb 2004,4.53
Jan 2004,4.42
Dec 2003,4.51
Nov 2003,4.45
Oct 2003,4.4
Sep 2003,4.4
Aug 2003,4.43
Jul 2003,4.67
Jun 2003,4.76
May 2003,4.62
Apr 2003,4.44
Mar 2003,4.3
Feb 2003,4.44
Jan 2003,4.43
Dec 2002,4.34
Nov 2002,4.3
Oct 2002,4.28
Sep 2002,4.3
Aug 2002,4.26
Jul 2002,4.09
Jun 2002,3.85
May 2002,3.79
Apr 2002,3.68
Mar 2002,3.74
Feb 2002,4.04
Jan 2002,4.27
Dec 2001,4.3
Nov 2001,4.3
Oct 2001,4.41
Sep 2001,4.4
Aug 2001,4.3
Jul 2001,4.28
Jun 2001,4.29
May 2001,4.23
Apr 2001,4.26
Mar 2001,4.71
Feb 2001,4.74
Jan 2001,4.69
Jun 1997,4.22
May 1997,3.98
Apr 1997,4.06
Mar 1997,4.22
Feb 1997,4.29
Jan 1997,4.25
